shapeid,"CODBDT","GEOCODIGO","DESBDT","idbarrio"
0,"814831","079011","011 Palacio","011"
1,"814832","079012","012 Embajadores","012"
2,"814833","079013","013 Cortes","013"
3,"814834","079014","014 Justicia","014"
4,"814835","079015","015 Universidad","015"
5,"814836","079016","016 Sol","016"
6,"814837","079021","021 Imperial","021"
7,"814838","079022","022 Las Acacias","022"
8,"814839","079023","023 La Chopera","023"
9,"814840","079024","024 Legazpi","024"
10,"814841","079025","025 Delicias","025"
11,"814842","079026","026 Palos de Moguer","026"
12,"814843","079027","027 Atocha","027"
13,"814844","079031","031 Pacífico","031"
14,"814845","079032","032 Adelfas","032"
15,"814846","079033","033 Estrella","033"
16,"814847","079034","034 Ibiza","034"
17,"814848","079035","035 Jerónimos","035"
18,"814849","079036","036 Niño Jesús","036"
19,"814850","079041","041 Recoletos","041"
20,"814851","079042","042 Goya","042"
21,"814852","079043","043 Fuente del Berro","043"
22,"814853","079044","044 Guindalera","044"
23,"814854","079045","045 Lista","045"
24,"814855","079046","046 Castellana","046"
25,"814856","079051","051 El Viso","051"
26,"814857","079052","052 Prosperidad","052"
27,"814858","079053","053 Ciudad Jardín","053"
28,"814859","079054","054 Hispanoamérica","054"
29,"814860","079055","055 Nueva España","055"
30,"814861","079056","056 Castilla","056"
31,"814862","079061","061 Bellas Vistas","061"
32,"814863","079062","062 Cuatro Caminos","062"
33,"814864","079063","063 Castillejos","063"
34,"814865","079064","064 Almenara","064"
35,"814866","079065","065 Valdeacederas","065"
36,"814867","079066","066 Berruguete","066"
37,"814868","079071","071 Gaztambide","071"
38,"814869","079072","072 Arapiles","072"
39,"814870","079073","073 Trafalgar","073"
40,"814871","079074","074 Almagro","074"
41,"814872","079075","075 Ríos Rosas","075"
42,"814873","079076","076 Vallehermoso","076"
43,"814874","079081","081 El Pardo","081"
44,"814875","079082","082 Fuentelarreina","082"
45,"814876","079083","083 Peña Grande","083"
46,"814877","079084","084 El Pilar","084"
47,"814878","079085","085 La Paz","085"
48,"814879","079086","086 Valverde","086"
49,"814880","079087","087 Mirasierra","087"
50,"814881","079088","088 El Goloso","088"
51,"814882","079091","091 Casa de Campo","091"
52,"814883","079092","092 Argüelles","092"
53,"814884","079093","093 Ciudad Universitaria","093"
54,"814885","079094","094 Valdezarza","094"
55,"814886","079095","095 Valdemarín","095"
56,"814887","079096","096 El Plantío","096"
57,"814888","079097","097 Aravaca","097"
58,"814889","079101","101 Los Cármenes","101"
59,"814890","079102","102 Puerta del ángel","102"
60,"814891","079103","103 Lucero","103"
61,"814892","079104","104 Aluche","104"
62,"814893","079105","105 Campamento","105"
63,"814894","079106","106 Cuatro Vientos","106"
64,"814895","079107","107 Las águilas","107"
65,"814896","079111","111 Comillas","111"
66,"814897","079112","112 Opañel","112"
67,"814898","079113","113 San Isidro","113"
68,"814899","079114","114 Vista Alegre","114"
69,"814900","079115","115 Puerta Bonita","115"
70,"814901","079116","116 Buenavista","116"
71,"814902","079117","117 Abrantes","117"
72,"814903","079121","121 Orcasitas","121"
73,"814904","079122","122 Orcasur","122"
74,"814905","079123","123 San Fermín","123"
75,"814906","079124","124 Almendrales","124"
76,"814907","079125","125 Moscardó","125"
77,"814908","079126","126 Zofo","126"
78,"814909","079127","127 Pradolongo","127"
79,"814910","079131","131 Entrevías","131"
80,"814911","079132","132 San Diego","132"
81,"814912","079133","133 Palomeras Bajas","133"
82,"814913","079134","134 Palomeras Sureste","134"
83,"814914","079135","135 Portazgo","135"
84,"814915","079136","136 Numancia","136"
85,"814916","079141","141 Pavones","141"
86,"814917","079142","142 Horcajo","142"
87,"814918","079143","143 Marroquina","143"
88,"814919","079144","144 Media Legua","144"
89,"814920","079145","145 Fontarrón","145"
90,"814921","079146","146 Vinateros","146"
91,"814922","079151","151 Ventas","151"
92,"814923","079152","152 Pueblo Nuevo","152"
93,"814924","079153","153 Quintana","153"
94,"814925","079154","154 Concepción","154"
95,"814926","079155","155 San Pascual","155"
96,"814927","079156","156 San Juan Bautista","156"
97,"814928","079157","157 Colina","157"
98,"814929","079158","158 Atalaya","158"
99,"814930","079159","159 Costillares","159"
100,"814931","079161","161 Palomas","161"
101,"814932","079162","162 Piovera","162"
102,"814933","079163","163 Canillas","163"
103,"814934","079164","164 Pinar del Rey","164"
104,"814935","079165","165 Apóstol Santiago","165"
105,"814936","079166","166 Valdefuentes","166"
106,"814937","079171","171 San Andrés","171"
107,"814938","079172","172 San Cristóbal","172"
108,"814939","079173","173 Butarque","173"
109,"814940","079174","174 Los Rosales","174"
110,"814941","079175","175 Los ángeles","175"
111,"814942","079181","181 Casco Histórico de Vallecas","181"
112,"814943","079182","182 Santa Eugenia","182"
113,"814944","079191","191 Casco Histórico de Vicálvaro","191"
114,"814945","079192","192 Ambroz","192"
115,"814946","079201","201 Simancas","201"
116,"814947","079202","202 Hellín","202"
117,"814948","079203","203 Amposta","203"
118,"814949","079204","204 Arcos","204"
119,"814950","079205","205 Rosas","205"
120,"814951","079206","206 Rejas","206"
121,"814952","079207","207 Canillejas","207"
122,"814953","079208","208 El Salvador","208"
123,"814954","079211","211 Alameda de Osuna","211"
124,"814955","079212","212 Aeropuerto","212"
125,"814956","079213","213 Casco Histórico de Barajas","213"
126,"814957","079214","214 Timón","214"
127,"814958","079215","215 Corralejos","215"
